2.13,2.23,2.51,3.13,3.32,4.04,4.96,5.4,5.88,6.03,6.15,6.2
2.03,2.11,2.33,2.98,3.29,4.16,5.02,5.65,6.08,6.2,6.27,6.3
1.88,1.88,1.91,2.65,2.99,4.26,5.33,6.03,6.47,6.43,6.41,6.42
1.72,1.6,1.26,2,2.59,4.22,5.89,6.95,7.04,6.69,6.56,6.51
1.66,1.49,0.75,1.35,2.18,4.26,6.12,7.25,7.35,6.81,6.6,6.53
1.73,1.65,1.4,2.15,2.67,4.16,5.64,6.76,6.7,6.65,6.52,6.48
1.88,1.86,1.95,2.69,3.09,4.11,5.2,5.96,6.25,6.36,6.38,6.37
2.01,2.08,2.29,3.03,3.3,4.13,4.94,5.55,5.93,6.16,6.25,6.28
2.1,2.23,2.47,2.84,3.4,4.18,4.83,5.39,5.77,6.02,6.16,6.21
2.14,2.28,2.51,2.96,3.42,4.04,4.74,5.29,5.72,5.97,6.12,6.16
